rank,toi,tic,ra_deg,dec_deg,Tmag,Teff_K,sectors_initial,sectors_current,n_current,new_sectors,n_new,TIC_ID_norm,Rstar_Rsun,contam_ratio,crowding,rank_score,justification
34,458.01,64071894,39.1357842745299,-22.2451138584831,9.6438,5033.0,,4;30;31,3,4;30;31,3,64071894,0.829519,0.0156831332,0.9845590295955896,0.9349603480660709,R*~0.83 R☉; contam~0.02; crowding~0.98; Tmag~9.6
35,5554.01,91287873,104.744002819835,28.716266006832,9.83733,3997.0,,44;45;71;72,4,44;45;71;72,4,91287873,0.626722,0.0221088044,0.9783694218219964,0.9303256849926165,R*~0.63 R☉; contam~0.02; crowding~0.98; Tmag~9.8
36,1824.01,142387023,197.731187220715,61.7447787189019,8.9754,5182.0,,15;21;22;41;48;49;75;76,8,15;21;22;41;48;49;75;76,8,142387023,0.824468,0.0238992143,0.9766586261946308,0.9158259268872941,R*~0.82 R☉; contam~0.02; crowding~0.98; Tmag~9.0
37,2009.01,243187830,16.9078099863319,22.9549795304899,7.3551,4755.33,,17;57;84,3,17;57;84,3,243187830,0.701499,0.0275722239,0.9731676049053236,0.9135902105089916,R*~0.70 R☉; contam~0.03; crowding~0.97; Tmag~7.4
38,6249.02,456260074,101.492328427485,66.8907328805347,9.0449,4813.0,,20;60;73,3,20;60;73,3,456260074,0.751037,0.0270296987,0.9736816776241097,0.9122872435659227,R*~0.75 R☉; contam~0.03; crowding~0.97; Tmag~9.0
39,913.01,407126408,234.573403866439,-80.8037855311033,9.6181,4969.0,,12;13;39;65;66;93,6,12;13;39;65;66;93,6,407126408,0.732535,0.0288607385,0.9719488387300339,0.9089544250819238,R*~0.73 R☉; contam~0.03; crowding~0.97; Tmag~9.6
40,5789.01,87216634,302.775306540214,16.1879981024362,6.5715,5132.0,,54;81,2,54;81,2,87216634,0.880535,0.0274886265,0.9732467826980856,0.9044757124212446,R*~0.88 R☉; contam~0.03; crowding~0.97; Tmag~6.6
41,1793.01,304142124,164.859599011725,-56.623040907531,7.8436,5167.22,,10;36;37;63;64;90,6,10;36;37;63;64;90,6,304142124,0.867451,0.0301841348,0.9707002527214613,0.8988377960451046,R*~0.87 R☉; contam~0.03; crowding~0.97; Tmag~7.8
42,712.02,150151262,92.9361370865504,-65.8259721132099,9.9059,4504.0,,1;2;3;4;5;6;7;9;10;11;12;13;27;28;29;30;31;32;33;34;35;36;37;38;39;61;62;63;64;65;66;67;68;69;87;88;89;90;93;94;95;96,42,1;2;3;4;5;6;7;9;10;11;12;13;27;28;29;30;31;32;33;34;35;36;37;38;39;61;62;63;64;65;66;67;68;69;87;88;89;90;93;94;95;96,42,150151262,0.720461,0.03746708,0.9638860059058452,0.8894766669389313,R*~0.72 R☉; contam~0.04; crowding~0.96; Tmag~9.9
43,560.02,101011575,129.688585068666,-13.2566919334745,8.5925,4695.0,,8;34;61;88,4,8;34;61;88,4,101011575,0.630294,0.042161487,0.9595441901030449,0.8832550477984824,R*~0.63 R☉; contam~0.04; crowding~0.96; Tmag~8.6
